tale_id,tale_name,motif_id,motif_name,cosine_similarity
"410","The Sleeping Beauty in the Wood","K2155.2","Slanderers Kill A Woman And Put Her Body Near Buddha's Cell",0.381634
"410","Little Brier-Rose","K2155.2","Slanderers Kill A Woman And Put Her Body Near Buddha's Cell",0.381634
"410","Sun, Moon, and Talia","K2155.2","Slanderers Kill A Woman And Put Her Body Near Buddha's Cell",0.381634
"1365","Scissors They Were","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","The Contrary Wife","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","The Baneyrwal and His Drowned Wife","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","Scissors or Knife?","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","Of Hym That Sought His Wyfe against the Streme","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","Of a Woman Who Persisted in Calling Her Husband Lousy","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","Scissors","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","Mary, Mary, So Contrary [The Pig-Headed Wife]","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","The Woman Who Called Her Husband a Louse-Cracker","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","The Woman Drowned","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","The Contrary Woman","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"1365","How Madde Coomes, When His Wife Was Drowned, Sought Her agai","G252.3","Bird's Neck Broken: Rakshasa Dies",0.375115
"313","Mastermaid","V229.2.3","Saint Will Drink Only Milk Of Cow Milked By Faithful Woman",0.368940
"47B","The Fox, the Wolf, and the Horse","J1511.13","Oisin's Poor Diet In Patrick's House -- Pancake Size Of Ivy ",0.361380
"47B","Two Foxes and a Horse","J1511.13","Oisin's Poor Diet In Patrick's House -- Pancake Size Of Ivy ",0.361380
"47B","The Wolf and the Tailor","J1511.13","Oisin's Poor Diet In Patrick's House -- Pancake Size Of Ivy ",0.361380
"63","The Fox and the Fleas","K2213.3.2.2","Wife Plots To Kill Her Husband, But Her Paramour Answers Tha",0.359939
"63","The Jackal and the Flees","K2213.3.2.2","Wife Plots To Kill Her Husband, But Her Paramour Answers Tha",0.359939
"1365","Scissors They Were","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","The Woman Who Called Her Husband a Louse-Cracker","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","The Baneyrwal and His Drowned Wife","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","Scissors or Knife?","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","The Woman Drowned","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","Scissors","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","Of Hym That Sought His Wyfe against the Streme","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","How Madde Coomes, When His Wife Was Drowned, Sought Her agai","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","The Contrary Woman","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","Mary, Mary, So Contrary [The Pig-Headed Wife]","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","Of a Woman Who Persisted in Calling Her Husband Lousy","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","The Contrary Wife","K815.9","Tiger Flatters Cow Into Showing That She Has Few Teeth",0.353943
"1365","The Woman Drowned","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","Of Hym That Sought His Wyfe against the Streme","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","Scissors They Were","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","Scissors or Knife?","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","The Contrary Woman","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","Of a Woman Who Persisted in Calling Her Husband Lousy","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","Mary, Mary, So Contrary [The Pig-Headed Wife]","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","The Baneyrwal and His Drowned Wife","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","The Woman Who Called Her Husband a Louse-Cracker","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","Scissors","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","The Contrary Wife","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"1365","How Madde Coomes, When His Wife Was Drowned, Sought Her agai","A2493.3","Friendship Of Tiger And Buffalo",0.353107
"275","The Crane and the Crab","K1025.2","Tiger Persuaded To Eat Own Eyes",0.348985
"275","A Hare and a Tortoise","K1025.2","Tiger Persuaded To Eat Own Eyes",0.348985
"275","The Hare and the Tortoise (Jacobs)","K1025.2","Tiger Persuaded To Eat Own Eyes",0.348985
"275","The Hare and The Tortoise (Croxall)","K1025.2","Tiger Persuaded To Eat Own Eyes",0.348985
"275","The Elephant and the Ants","K1025.2","Tiger Persuaded To Eat Own Eyes",0.348985
